id,state_id/id,name
base.county_us_149,base.state_us_11,Barrow
base.county_us_150,base.state_us_35,Barry
base.county_us_151,base.state_us_38,Barry
base.county_us_152,base.state_us_15,Bartholomew
base.county_us_153,base.state_us_17,Barton
base.county_us_154,base.state_us_38,Barton
base.county_us_155,base.state_us_11,Bartow
base.county_us_156,base.state_us_44,Bastrop
base.county_us_157,base.state_us_38,Bates
base.county_us_158,base.state_us_18,Bath
base.county_us_159,base.state_us_47,Bath
base.county_us_160,base.state_us_4,Baxter
base.county_us_161,base.state_us_10,Bay
base.county_us_162,base.state_us_35,Bay
base.county_us_163,base.state_us_39,Bayamón Municipio
base.county_us_164,base.state_us_50,Bayfield
base.county_us_165,base.state_us_44,Baylor
base.county_us_166,base.state_us_42,Beadle
base.county_us_167,base.state_us_13,Bear Lake
base.county_us_168,base.state_us_28,Beaufort
base.county_us_169,base.state_us_41,Beaufort
base.county_us_170,base.state_us_19,Beauregard Parish
base.county_us_171,base.state_us_31,Beaver
base.county_us_172,base.state_us_39,Beaver
base.county_us_173,base.state_us_45,Beaver
base.county_us_174,base.state_us_21,Beaverhead
base.county_us_175,base.state_us_36,Becker
base.county_us_176,base.state_us_31,Beckham
base.county_us_177,base.state_us_39,Bedford
base.county_us_178,base.state_us_43,Bedford
base.county_us_179,base.state_us_47,Bedford
base.county_us_180,base.state_us_47,Bedford City
base.county_us_181,base.state_us_44,Bee
base.county_us_182,base.state_us_24,Belknap
base.county_us_183,base.state_us_18,Bell
base.county_us_184,base.state_us_44,Bell
base.county_us_185,base.state_us_30,Belmont
base.county_us_186,base.state_us_36,Beltrami
base.county_us_187,base.state_us_11,Ben Hill
base.county_us_188,base.state_us_13,Benewah
base.county_us_189,base.state_us_42,Bennett
base.county_us_190,base.state_us_46,Bennington
base.county_us_191,base.state_us_29,Benson
base.county_us_192,base.state_us_6,Bent
base.county_us_193,base.state_us_15,Benton
base.county_us_194,base.state_us_16,Benton
base.county_us_195,base.state_us_32,Benton
base.county_us_196,base.state_us_36,Benton
base.county_us_197,base.state_us_37,Benton
